	Of-098	Of-104	Of-112	Of-114	Of-126	Of-130	Of-142	Of-150	Of-152	Of-154	Of-158	Of-162	Of-170	Of-180	Of-200	Of-202	Of-216	Of-224	Of-266	
Durusdinium13679	2	15	0	0	9	3	6	2	4	0	6	14	6	10	0	10	0	0	1	
Durusdinium13685	17	3	5	8	43	33	18	9	3	1	0	60	29	8	4	36	0	18	14	
Durusdinium13689	7	0	0	0	4	3	1	2	0	0	0	12	7	8	0	3	0	1	1	
Durusdinium13701	6	3	7	0	20	9	6	7	0	1	0	18	9	0	0	1	0	4	1	
Durusdinium13703	11	2	4	0	7	5	9	0	0	0	0	18	9	8	0	0	0	10	4	
Durusdinium13709	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	
Durusdinium13714	0	0	0	0	1	1	0	0	0	0	0	3	1	0	0	0	0	0	1	
Durusdinium13719	5	0	0	0	8	1	2	7	0	1	0	8	5	4	0	0	0	4	1	
Durusdinium13726	9	1	10	0	25	9	5	3	1	0	0	25	6	0	0	7	0	1	17	
Durusdinium13727	1	0	3	1	2	3	1	1	0	0	0	3	5	3	1	2	0	0	1	
Durusdinium1373	0	0	0	0	3	1	0	0	0	0	0	5	1	0	0	1	0	1	3	
Durusdinium13731	11	0	2	0	11	11	0	7	0	0	0	22	10	8	6	0	0	2	6	
Durusdinium13733	2	3	2	0	14	6	5	8	7	0	0	35	16	9	0	3	0	0	6	
Durusdinium13735	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	
Durusdinium13737	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13740	49	13	9	3	123	41	20	24	6	0	1	144	60	2	0	28	0	11	39	
Durusdinium13743	3	0	0	0	10	3	0	7	0	0	0	20	1	0	0	1	0	0	3	
Durusdinium13745	15	9	12	0	38	17	5	8	0	0	0	43	20	19	17	18	0	5	16	
Durusdinium13751	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium13757	15	0	0	0	21	23	4	8	0	0	0	57	17	10	0	0	0	1	7	
Durusdinium13758	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13762	7	0	5	0	15	2	2	2	0	0	0	13	12	7	0	1	0	3	9	
Durusdinium13767	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
Durusdinium13769	8	0	0	0	0	3	1	0	1	0	0	1	0	0	0	1	0	0	0	
Durusdinium13772	0	3	0	2	3	4	0	0	0	0	0	4	2	0	0	0	0	0	1	
Durusdinium13774	0	0	0	0	3	1	1	0	0	0	0	2	0	0	0	2	0	0	0	
Durusdinium13776	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
Durusdinium13784	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13789	9	0	6	4	6	4	7	2	1	0	0	13	11	0	1	0	0	2	21	
Durusdinium13793	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium13798	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	
Durusdinium138	0	2	0	0	1	0	0	4	0	0	0	6	2	5	0	1	0	0	0	
Durusdinium1380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium13802	1	2	0	0	7	3	3	0	0	0	0	2	5	0	0	0	0	2	3	
Durusdinium13803	3	0	0	0	5	2	0	0	0	0	0	13	2	0	0	0	0	0	1	
Durusdinium1381	1	0	0	0	0	1	0	3	0	0	0	2	1	0	0	0	0	0	0	
Durusdinium13819	15	4	7	0	39	2	10	30	9	0	0	61	32	1	12	36	1	7	22	
Durusdinium13820	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13823	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	
Durusdinium13826	11	0	2	0	7	5	4	2	0	0	0	16	3	0	0	1	0	0	7	
Durusdinium13833	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium13834	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	
Durusdinium1384	2	1	1	0	15	3	3	1	0	0	0	7	7	2	0	5	0	1	2	
Durusdinium13845	8	0	4	2	13	5	6	2	3	1	0	40	11	1	0	2	0	2	20	
Durusdinium1385	0	0	0	0	3	0	0	0	0	0	0	5	2	0	0	0	0	0	1	
Durusdinium13856	2	0	0	0	3	0	0	0	0	0	0	3	2	1	0	0	0	0	0	
Durusdinium13863	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium13866	1	2	0	0	3	4	1	0	0	0	0	8	3	0	0	8	0	0	2	
Durusdinium13868	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13873	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium13875	0	0	0	0	3	2	0	0	0	0	0	4	2	0	0	9	0	0	0	
Durusdinium13878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium13879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
Durusdinium13883	1	0	0	0	2	0	0	0	0	0	0	7	0	0	0	0	0	0	3	
Durusdinium13884	56	11	6	0	88	24	24	22	0	1	1	150	50	6	2	15	0	23	63	
Durusdinium13886	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium13888	32	12	11	10	61	20	21	27	0	0	7	72	50	33	0	48	0	9	7	
Durusdinium13895	10	1	0	0	23	2	2	1	1	0	1	18	12	0	0	1	0	5	7	
Durusdinium13896	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium139	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium13901	10	2	1	0	9	1	0	8	0	0	0	10	6	0	0	0	0	0	5	
Durusdinium13903	0	0	0	0	5	2	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13904	57	8	9	5	82	35	23	16	14	14	0	80	47	32	8	17	0	21	19	
Durusdinium13905	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium13908	0	2	0	0	0	0	0	1	0	0	0	7	1	1	0	0	0	0	3	
Durusdinium1391	3	0	0	0	6	1	5	0	0	0	0	14	6	0	0	0	0	0	1	
Durusdinium13912	19	8	3	1	47	15	4	4	0	0	0	34	11	9	2	12	0	8	13	
Durusdinium13925	8	3	3	0	18	2	0	4	0	0	0	33	8	16	0	0	0	2	10	
Durusdinium13929	7	0	0	0	11	1	0	3	0	0	0	7	8	0	0	0	0	1	7	
Durusdinium13930	6	1	6	1	7	6	5	1	0	0	1	16	7	1	0	6	0	0	1	
Durusdinium13932	2	0	0	0	13	9	9	0	5	0	0	27	12	3	0	6	0	4	7	
Durusdinium13933	3	1	0	1	5	3	3	0	0	0	0	2	1	0	1	2	0	2	1	
Durusdinium13938	0	0	0	0	2	0	1	1	0	0	0	3	1	0	1	0	0	1	0	
Durusdinium1394	14	1	8	0	27	10	6	2	4	0	8	40	8	0	7	15	0	2	2	
Durusdinium13951	2	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
Durusdinium13957	10	1	6	1	10	7	1	13	0	0	0	18	14	0	0	22	2	0	6	
Durusdinium13963	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Durusdinium13964	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	
Durusdinium13972	1	0	3	0	8	4	0	0	0	0	0	15	9	0	2	0	0	0	4	
Durusdinium13976	2	0	0	0	1	1	0	2	0	0	0	6	0	0	0	1	0	0	1	
Durusdinium13979	0	0	0	0	3	3	4	0	10	0	0	3	5	0	0	1	0	0	0	
Durusdinium13981	1	0	0	0	16	3	0	0	7	0	0	13	7	9	0	6	0	0	4	
Durusdinium13987	4	8	2	0	17	0	0	3	0	0	0	18	9	8	0	2	0	4	4	
Durusdinium1399	10	6	2	0	20	2	0	10	0	0	0	24	10	0	0	0	0	0	6	
Durusdinium13990	14	0	1	0	20	7	4	10	0	0	2	24	12	2	0	0	0	3	6	
Durusdinium13997	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium13998	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium14	11	0	0	0	15	5	2	13	0	8	0	21	7	12	7	0	1	5	2	
Durusdinium14003	21	4	4	0	18	7	15	23	0	5	0	28	17	19	25	32	0	5	8	
Durusdinium1401	2	0	0	0	4	0	0	7	0	0	0	11	6	3	0	0	1	1	0	
Durusdinium14010	0	0	3	0	3	1	0	4	0	0	0	6	0	0	0	3	0	0	0	
Durusdinium14011	8	0	2	0	21	3	2	3	0	0	0	20	16	0	0	0	0	7	21	
Durusdinium14013	18	6	0	0	24	7	25	11	5	3	0	28	12	0	2	5	0	0	3	
Durusdinium14015	0	0	0	0	3	0	1	1	0	0	0	9	2	0	0	0	0	2	0	
Durusdinium14025	9	0	0	0	11	0	4	1	0	0	0	13	8	7	0	1	0	3	0	
Durusdinium14026	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium14027	7	6	2	0	7	2	0	3	4	0	0	13	2	3	0	0	0	0	0	
Durusdinium14029	3	4	6	0	16	9	0	6	5	0	0	40	6	0	0	0	0	0	5	
Durusdinium1403	22	4	5	0	40	5	16	13	7	0	1	37	18	3	7	11	0	0	10	
Durusdinium14030	1	0	0	0	6	3	0	0	0	0	0	6	12	0	0	0	0	1	3	
Durusdinium14032	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium14035	11	0	3	0	13	3	1	7	0	0	0	22	8	4	0	0	0	6	6	
Durusdinium1404	7	0	0	0	6	3	0	0	0	0	0	15	7	0	0	0	0	0	7	
Durusdinium14042	3	2	0	2	9	3	0	9	0	3	0	12	8	0	0	2	0	2	3	
Durusdinium14051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium14053	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	2	
Durusdinium14056	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	
Durusdinium14058	13	1	0	0	20	10	1	6	0	0	0	23	14	0	3	3	0	4	5	
Durusdinium1406	41	6	6	0	71	21	17	19	7	1	2	112	51	8	0	37	1	7	31	
Durusdinium14060	2	0	0	0	2	1	0	0	0	0	0	9	0	0	0	4	0	2	1	
Durusdinium14062	6	0	1	6	16	2	0	2	0	0	0	26	13	0	2	10	0	4	9	
Durusdinium14064	6	1	1	0	12	5	7	5	0	0	0	25	9	3	1	8	0	0	6	
Durusdinium14067	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	
Durusdinium14068	20	4	1	1	19	9	8	9	0	0	0	52	20	1	0	8	0	9	26	
Durusdinium14069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
Durusdinium14073	0	0	0	0	3	0	0	0	0	0	1	7	1	3	0	1	0	0	2	
Durusdinium14076	3	0	0	0	6	0	0	0	0	0	7	13	1	1	1	1	0	0	3	
Durusdinium14077	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	
Durusdinium14080	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	2	
Durusdinium14082	4	0	0	0	9	1	0	5	0	0	0	20	2	0	0	0	0	3	1	
Durusdinium14084	14	3	0	0	36	10	9	5	3	0	0	64	31	9	0	2	0	5	19	
Durusdinium14086	0	0	0	0	5	1	0	0	0	0	0	1	2	0	0	0	0	0	2	
Durusdinium1409	0	0	0	0	1	1	0	0	0	0	0	1	4	1	5	0	0	0	0	
Durusdinium14090	54	8	4	1	112	33	21	33	0	0	1	153	47	17	12	34	0	21	50	
Durusdinium14091	1	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	
Durusdinium14092	8	4	2	0	17	5	0	2	6	0	0	22	16	11	5	5	0	1	5	
Durusdinium14093	10	5	0	0	4	1	4	1	0	0	0	17	5	2	0	1	0	5	2	
Durusdinium14096	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	
Durusdinium14099	1	1	0	0	4	0	0	2	1	0	0	6	0	0	0	1	0	0	1	
Durusdinium1410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium14108	0	0	1	0	1	3	0	2	0	0	0	1	0	0	1	0	0	0	0	
Durusdinium14109	0	12	3	0	9	2	0	1	0	0	0	3	0	0	0	0	0	1	4	
Durusdinium1411	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	
Durusdinium14110	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium14112	1	2	0	0	3	1	0	1	9	0	0	5	3	0	1	1	0	2	0	
Durusdinium14115	21	0	4	1	19	6	2	6	4	0	0	43	8	3	16	2	0	2	11	
Durusdinium14123	2	0	0	0	6	2	0	0	0	0	0	11	5	0	0	0	0	0	4	
Durusdinium14125	9	3	1	1	29	6	5	13	1	0	0	23	18	0	2	7	0	14	13	
Durusdinium14129	61	11	17	0	94	49	9	25	0	0	2	164	61	6	7	44	0	15	83	
Durusdinium14136	5	0	1	0	4	5	5	1	0	0	0	12	3	0	0	7	0	2	4	
Durusdinium14137	4	0	1	0	19	2	0	0	0	0	0	24	10	0	0	0	0	3	11	
Durusdinium14138	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium14146	0	0	0	0	1	3	0	0	0	0	0	5	2	0	1	0	0	0	2	
Durusdinium1415	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium14150	15	20	8	2	54	11	1	16	2	0	0	73	29	4	0	2	0	12	8	
Durusdinium14157	4	0	0	0	12	6	3	1	0	0	0	9	6	1	8	0	0	0	5	
Durusdinium14158	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	
Durusdinium14167	6	4	0	1	6	8	0	2	0	0	0	25	14	2	0	3	0	6	8	
Durusdinium14173	5	0	0	0	10	0	0	0	0	0	0	7	5	0	0	0	0	0	4	
Durusdinium14174	0	0	0	0	1	0	0	5	0	0	0	2	4	0	1	2	0	0	2	
Durusdinium14175	10	0	0	0	21	3	6	1	1	0	0	15	5	3	0	0	0	0	11	
Durusdinium14178	0	0	4	0	9	2	1	1	0	0	0	17	7	0	0	6	0	6	3	
Durusdinium14179	3	0	0	0	5	0	0	0	0	0	0	7	0	0	0	0	0	0	0	
Durusdinium14182	6	11	0	4	12	6	7	7	2	0	0	21	15	0	5	1	0	7	6	
Durusdinium14183	2	0	0	0	3	1	1	1	0	0	0	8	0	0	4	2	0	0	1	
Durusdinium14185	3	0	0	0	10	5	1	2	0	0	0	19	7	0	0	2	0	0	7	
Durusdinium14187	0	0	0	0	12	7	3	2	4	0	1	14	2	1	0	9	0	0	7	
Durusdinium14188	4	0	0	0	14	7	0	2	6	0	0	14	2	0	0	8	0	4	2	
Durusdinium14190	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	
Durusdinium14198	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	
Durusdinium14202	0	0	0	0	5	1	8	0	0	0	0	0	3	9	0	0	0	0	3	
Durusdinium14203	2	0	0	0	5	2	4	0	0	0	2	5	1	0	0	1	0	0	1	
Durusdinium14205	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium14206	0	0	0	0	2	1	0	0	0	0	0	8	1	0	0	0	0	1	0	
Durusdinium14208	0	0	0	0	4	2	0	0	0	0	0	1	0	0	0	0	0	0	1	
Durusdinium14212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium14214	5	2	2	0	6	0	0	6	0	0	0	9	2	5	7	1	0	5	3	
Durusdinium14215	1	0	0	0	10	2	5	16	0	0	0	14	8	1	0	2	0	0	11	
Durusdinium14217	14	9	5	0	39	16	3	11	1	0	3	26	17	6	0	9	0	4	13	
Durusdinium14219	10	11	6	0	16	5	9	20	7	0	0	25	8	0	0	16	0	0	5	
Durusdinium14222	0	5	2	0	4	0	3	4	0	0	0	11	2	0	0	2	0	0	0	
Durusdinium14223	4	0	0	0	3	2	3	2	0	0	6	5	3	0	0	0	0	3	5	
Durusdinium14226	11	0	0	0	7	13	2	3	10	0	0	18	7	0	1	0	0	0	5	
Durusdinium14228	2	0	2	0	5	0	0	1	0	0	0	3	5	0	1	0	0	0	6	
Durusdinium14230	1	0	0	0	3	0	0	0	0	0	0	11	7	0	0	0	0	0	0	
Durusdinium14231	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium14232	7	6	9	0	37	13	4	14	0	0	0	28	6	17	6	0	0	0	3	
Durusdinium14235	15	11	6	0	17	10	3	11	0	0	0	36	13	2	7	4	0	4	9	
Durusdinium14237	7	0	5	0	6	2	1	2	0	0	0	9	4	0	0	0	0	0	4	
Durusdinium14238	11	0	4	0	11	5	0	3	0	0	0	16	11	4	0	2	0	3	8	
Durusdinium14242	56	23	6	1	100	19	20	23	9	3	3	116	37	22	5	21	0	21	22	
Durusdinium14248	10	13	1	0	20	5	1	9	1	0	3	28	17	7	0	3	0	7	11	
Durusdinium14250	2	1	4	0	18	2	1	0	0	0	0	24	11	0	6	3	0	1	5	
Durusdinium14260	3	4	0	0	4	0	0	3	0	0	0	7	2	0	0	0	0	2	3	
Durusdinium14261	0	0	1	0	1	0	3	0	0	0	0	3	2	0	0	0	0	2	0	
Durusdinium14270	17	15	12	0	19	17	0	8	2	0	1	39	13	13	3	10	0	6	5	
Durusdinium14271	6	1	0	0	4	5	0	1	0	0	0	15	8	0	0	2	0	1	4	
Durusdinium14275	8	0	0	0	8	3	0	2	0	0	0	20	9	7	0	0	0	0	6	
Durusdinium1428	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium14284	40	2	29	8	46	27	0	6	1	0	2	117	28	20	3	19	0	10	8	
Durusdinium14286	3	0	0	0	3	0	0	1	0	0	0	6	1	0	2	4	0	0	0	
Durusdinium14287	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	
Durusdinium14291	17	1	1	9	20	14	11	8	0	0	0	33	17	9	0	5	0	2	8	
Durusdinium14293	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium14297	4	0	2	0	12	1	0	2	0	0	0	19	3	0	0	1	0	4	8	
Durusdinium14298	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	
Durusdinium14299	3	0	0	0	6	1	0	2	0	0	0	5	0	0	0	0	0	0	2	
Durusdinium143	41	6	11	0	94	28	11	37	5	0	11	97	43	1	5	26	0	19	20	
Durusdinium14305	1	1	0	0	1	2	0	4	0	0	0	3	1	0	0	0	0	0	1	
Durusdinium14306	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
Durusdinium14315	21	0	7	0	48	17	5	29	18	20	0	63	45	17	5	34	1	8	23	
Durusdinium14320	23	5	3	0	19	5	2	14	9	2	7	27	11	0	0	3	0	5	6	
Durusdinium14330	5	0	0	0	6	4	0	0	0	0	0	7	6	0	0	0	0	0	15	
Durusdinium14337	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium14340	10	0	3	1	18	7	1	0	0	0	0	22	12	1	0	0	0	0	9	
Durusdinium14346	3	0	0	0	2	6	7	0	0	0	0	11	8	0	0	0	0	4	5	
Durusdinium14348	9	0	1	0	16	3	1	3	0	0	0	14	5	3	0	2	0	0	3	
Durusdinium14349	5	0	1	0	2	0	0	2	0	0	0	6	0	0	0	1	0	0	3	
Durusdinium1435	24	16	8	0	55	16	2	7	6	2	1	78	35	3	7	0	0	12	26	
Durusdinium14350	42	5	11	0	67	33	4	18	2	0	1	101	53	7	9	16	0	19	11	
Durusdinium14354	18	0	2	1	28	8	0	11	0	1	0	55	14	0	0	22	0	1	12	
Durusdinium14357	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium14358	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	
Durusdinium14363	1	0	0	0	5	0	0	1	0	0	0	6	2	0	0	0	0	2	3	
Durusdinium14366	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	
Durusdinium14367	1	0	0	0	6	0	7	0	5	0	0	7	3	1	0	2	0	1	0	
Durusdinium14368	9	1	7	0	23	9	7	6	1	0	0	42	17	7	9	4	0	0	6	
Durusdinium14369	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	4	3	0	
Durusdinium14372	13	9	8	0	14	15	3	8	11	0	0	12	21	2	0	19	0	0	4	
Durusdinium14374	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	
Durusdinium14376	27	11	12	0	47	12	6	51	0	0	2	57	29	8	0	45	0	13	7	
Durusdinium14379	1	0	0	0	5	3	0	4	0	0	0	2	1	0	0	2	0	0	3	
Durusdinium1438	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium14381	65	12	13	1	76	22	11	13	10	0	1	95	55	17	12	26	1	6	22	
Durusdinium14386	10	0	4	1	15	0	2	3	1	1	1	22	5	0	8	2	0	0	6	
Durusdinium14389	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium1439	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium14390	5	1	1	0	0	2	0	3	2	0	0	6	4	0	1	4	0	0	2	
Durusdinium14391	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	
Durusdinium14393	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium14395	21	7	13	9	27	5	6	10	4	0	5	45	20	8	1	28	0	6	5	
Durusdinium14399	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	
Durusdinium14400	1	1	0	0	2	2	1	0	0	0	0	3	2	2	0	1	0	0	0	
Durusdinium14403	3	0	0	5	7	1	0	0	0	0	0	9	3	3	0	0	0	0	2	
Durusdinium14404	3	0	0	0	6	2	1	0	0	0	0	3	2	0	0	0	0	1	2	
Durusdinium14409	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium1441	9	0	1	0	4	4	2	4	0	0	0	18	5	1	2	3	0	1	1	
Durusdinium14412	1	0	0	0	8	4	0	0	0	0	0	4	4	0	0	0	0	0	0	
Durusdinium14416	2	0	8	0	4	1	0	2	8	0	4	2	3	0	0	0	0	2	0	
Durusdinium14418	8	4	1	0	16	3	13	6	0	0	0	22	3	0	0	9	0	0	8	
Durusdinium14423	0	1	0	0	1	1	1	0	0	0	0	6	0	0	0	0	0	0	0	
Durusdinium14426	0	0	0	0	6	0	0	0	0	0	0	1	1	0	0	0	0	0	0	
Durusdinium14427	1	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium14434	34	4	16	12	77	17	21	29	8	0	4	103	46	22	14	12	0	12	14	
Durusdinium14439	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium14442	15	1	2	0	34	9	6	0	0	0	0	44	36	4	0	24	0	4	16	
Durusdinium14444	7	0	4	0	4	6	5	0	0	0	0	13	3	0	0	14	0	2	4	
Durusdinium14445	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium14447	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	
Durusdinium14448	3	1	0	0	11	1	0	2	0	0	0	13	1	0	0	0	0	0	3	
Durusdinium14451	3	1	0	0	5	1	1	0	0	0	0	4	2	3	0	3	0	0	1	
Durusdinium14458	196	82	48	33	333	106	38	142	35	26	55	450	200	134	45	157	0	44	114	
Durusdinium14462	2	3	1	0	5	0	0	1	0	0	0	1	5	0	0	0	0	0	1	
Durusdinium14465	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium14467	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium14471	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium14473	3	0	0	0	2	0	0	5	0	0	0	4	0	0	0	0	0	0	1	
Durusdinium14474	20	1	0	0	15	12	1	15	4	3	0	40	13	14	1	3	0	1	0	
Durusdinium14475	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium14480	10	4	4	3	19	11	1	20	2	0	0	37	19	11	1	3	0	1	10	
Durusdinium14482	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium14487	107	32	22	21	108	36	27	50	5	4	18	205	74	28	14	29	0	20	85	
Durusdinium14491	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	1	
Durusdinium14499	5	0	0	0	12	5	3	6	0	0	0	8	4	10	0	0	0	3	4	
Durusdinium145	4	0	0	0	7	0	0	1	0	0	0	6	4	1	0	2	0	0	2	
Durusdinium14502	10	0	1	0	7	1	0	2	0	0	0	16	6	1	0	5	1	1	3	
Durusdinium14503	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium14508	1	0	0	0	0	0	0	1	0	0	0	3	3	0	0	0	0	0	2	
Durusdinium14509	0	0	0	0	1	0	6	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium1451	4	0	0	0	4	0	0	0	0	0	0	6	3	0	0	4	0	0	0	
Durusdinium14511	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium14513	6	0	4	0	16	2	0	0	0	0	0	35	10	0	0	1	0	0	5	
Durusdinium14522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Durusdinium14525	1	0	0	0	2	2	0	7	0	0	0	5	1	0	0	0	0	0	1	
Durusdinium14527	0	0	1	0	4	3	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium14529	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium14534	3	17	6	0	15	11	3	1	0	0	0	25	15	3	0	0	0	0	9	
Durusdinium14535	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Durusdinium14539	4	0	0	0	6	1	1	1	0	1	3	6	1	1	2	4	0	2	3	
Durusdinium14544	4	0	0	0	0	0	0	3	0	0	0	4	5	0	0	0	0	1	0	
Durusdinium14545	7	0	0	0	7	9	0	1	1	0	0	14	8	0	4	0	0	0	1	
Durusdinium14551	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	1	
Durusdinium14562	21	4	5	3	32	11	2	1	21	0	0	28	23	0	0	7	2	4	13	
Durusdinium14567	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Durusdinium14570	19	8	9	0	32	10	4	4	0	0	1	46	15	0	0	3	3	7	11	
Durusdinium14571	4	0	5	0	7	2	0	6	1	0	0	11	0	0	0	4	0	0	1	
Durusdinium14582	2	1	1	0	7	1	0	2	0	0	0	10	5	0	0	4	0	4	6	
Durusdinium14584	1	0	1	0	4	3	0	0	0	0	0	10	1	2	0	0	0	0	1	
Durusdinium14585	17	3	7	1	15	4	2	5	2	0	2	25	15	4	0	4	0	2	5	
