"","Of.098","Of.104","Of.112","Of.114","Of.126","Of.130","Of.142","Of.150","Of.152","Of.154","Of.158","Of.162","Of.170","Of.180","Of.200","Of.202","Of.216","Of.224","Of.266"
"Ofaveolata028355",4,0,0,0,3,5,1,0,2,0,0,15,3,0,0,0,0,1,11
"Ofaveolata028375",13,6,4,5,22,12,11,7,4,0,0,33,14,0,1,19,0,5,41
"Ofaveolata028377",35,0,1,5,17,16,21,6,11,0,0,27,33,13,11,20,0,10,22
"Ofaveolata028378",25,18,2,0,51,15,6,0,10,0,0,11,11,4,0,14,0,6,34
"Ofaveolata028379",14,0,3,1,15,9,2,4,5,0,0,17,7,0,0,0,0,12,53
"Ofaveolata028383",33,4,2,6,43,24,20,8,4,0,0,23,18,8,1,7,1,18,63
"Ofaveolata028387",18,11,14,23,43,41,33,12,17,3,0,48,30,19,1,24,0,19,72
"Ofaveolata028389",0,0,10,0,18,22,0,1,0,0,0,26,2,0,0,0,0,0,80
"Ofaveolata028390",5,5,0,0,16,7,7,2,6,0,0,17,18,0,0,0,0,4,51
"Ofaveolata028391",4,0,4,0,7,0,4,0,0,0,0,16,4,0,0,3,0,3,32
"Ofaveolata028394",73,51,51,6,104,67,42,12,2,6,2,246,114,58,0,36,4,43,353
"Ofaveolata028395",35,6,3,1,24,14,11,7,0,0,4,35,21,13,2,2,2,16,40
"Ofaveolata028396",5,0,0,0,21,0,3,2,0,0,0,13,6,0,0,4,0,1,23
"Ofaveolata028398",0,3,2,4,12,0,4,2,0,0,0,17,5,2,0,0,0,6,18
"Ofaveolata028399",7,0,2,0,29,0,2,8,5,0,0,47,25,4,0,1,0,7,29
"Ofaveolata028405",214,399,63,19,350,304,54,49,61,15,22,287,112,51,43,155,9,194,883
"Ofaveolata028406",42,8,15,0,73,34,29,20,10,0,0,130,63,7,0,36,4,42,187
"Ofaveolata028407",13,0,5,0,13,9,7,0,0,0,0,25,8,0,0,0,0,5,21
"Ofaveolata028409",9,0,3,4,36,8,0,2,0,0,0,27,18,10,0,0,0,2,34
"Ofaveolata028410",32,43,5,2,21,5,8,2,9,0,8,15,9,12,60,38,0,28,6
"Ofaveolata028450",50,53,30,2,119,31,30,20,21,6,4,83,45,14,7,55,3,26,193
"Ofaveolata028462",25,0,6,0,3,0,0,0,0,0,0,7,4,0,0,5,0,0,23
"Ofaveolata028463",48,1,32,17,37,18,32,6,23,0,2,50,44,48,9,52,1,33,20
"Ofaveolata028464",7,0,3,2,36,1,1,6,1,0,0,21,5,1,0,12,0,8,83
"Ofaveolata028465",14,6,0,0,32,21,1,1,5,0,0,36,16,0,4,8,3,6,48
"Ofaveolata028467",29,11,10,3,3,70,8,5,3,3,1,27,11,3,2,6,1,58,134
"Ofaveolata028470",259,23,19,8,208,68,35,16,6,0,8,80,51,11,1,22,0,20,195
"Ofaveolata028471",6,3,1,5,6,6,18,11,6,0,0,11,7,11,0,6,1,5,102
"Ofaveolata028472",25,4,5,0,25,11,12,6,2,0,8,23,23,7,1,10,0,14,29
"Ofaveolata028474",4,0,1,0,0,1,0,4,2,0,0,10,6,0,0,0,0,2,11
"Ofaveolata028475",36,0,7,1,30,19,11,0,5,0,1,26,19,11,155,12,1,20,53
"Ofaveolata028476",155,156,14,16,7,91,10,0,0,0,0,29,3,7,0,1,1,14,79
"Ofaveolata028479",4,1,7,0,5,1,3,0,0,0,0,26,14,0,0,2,1,8,29
"Ofaveolata028488",2,0,1,0,2,11,1,0,0,0,0,4,7,1,0,2,0,0,10
"Ofaveolata028490",12,0,2,2,2,11,9,4,0,3,0,12,8,5,0,11,0,5,20
"Ofaveolata028494",35,43,9,4,30,28,13,23,10,0,0,71,37,3,3,10,0,12,95
"Ofaveolata028496",17,0,9,2,13,17,19,3,11,7,3,31,21,12,0,8,0,17,22
"Ofaveolata028498",75,29,7,13,47,29,12,6,7,0,0,59,35,17,5,23,5,20,90
"Ofaveolata028499",9,1,18,7,8,13,8,15,23,0,0,47,35,5,0,7,0,15,114
"Ofaveolata028500",5,1,3,0,5,6,1,7,0,0,2,15,12,0,0,2,0,4,17
"Ofaveolata028502",19,2,1,0,11,5,0,2,0,0,0,19,15,7,0,1,0,6,49
"Ofaveolata028503",3,3,15,4,24,14,7,2,0,0,6,28,19,4,0,12,0,2,75
"Ofaveolata028504",4,2,0,1,7,12,1,0,0,0,0,5,3,0,0,2,0,4,17
"Ofaveolata028506",16,1,3,1,27,25,7,4,9,6,0,23,17,0,0,3,0,1,54
"Ofaveolata028507",19,3,6,8,29,17,9,7,1,0,0,51,23,1,5,6,0,11,52
"Ofaveolata028509",41,29,28,2,78,63,38,22,12,0,3,90,35,6,19,27,0,41,223
"Ofaveolata028530",5,2,0,0,3,2,4,0,2,0,0,14,7,1,0,0,0,0,14
"Ofaveolata028544",1,0,4,0,23,5,7,0,0,0,0,20,8,4,0,0,0,5,10
"Ofaveolata028550",29,1,12,3,35,23,26,1,12,0,0,52,31,0,1,3,5,8,73
"Ofaveolata028556",134,109,81,14,301,204,69,63,27,4,18,551,210,67,25,104,13,129,787
"Ofaveolata028558",8,1,5,0,15,18,7,1,4,5,4,33,17,7,0,6,1,17,46
"Ofaveolata028559",3,9,0,1,3,2,0,0,0,0,0,10,4,0,0,3,0,0,21
"Ofaveolata028571",33,3,3,8,3,48,38,0,3,0,0,0,0,0,0,0,0,0,43
"Ofaveolata028572",255,173,129,65,82,550,364,23,54,6,7,210,77,12,0,19,4,79,393
"Ofaveolata028574",6,0,3,0,17,6,1,2,0,0,0,12,17,1,0,9,0,8,39
"Ofaveolata028577",34,10,8,7,81,21,16,23,3,12,2,79,44,4,4,33,1,18,82
"Ofaveolata028578",26,9,8,9,10,23,11,0,0,0,2,27,20,4,2,16,1,14,8
"Ofaveolata028579",19,7,7,1,17,7,8,7,1,1,1,16,14,1,15,20,0,5,27
"Ofaveolata028582",9,2,3,0,13,11,1,6,0,2,0,16,4,0,5,0,0,3,53
"Ofaveolata028587",232,28,2,0,341,56,4,1,1,1,11,42,22,0,31,14,0,12,52
"Ofaveolata028588",9,0,13,0,8,17,5,0,6,4,0,8,8,1,0,13,1,4,9
"Ofaveolata028589",8,7,14,6,22,13,6,8,1,2,0,9,9,0,5,8,3,6,39
"Ofaveolata028590",93,58,90,23,109,130,109,69,102,0,20,161,127,85,63,127,5,108,131
"Ofaveolata028591",42,22,15,8,14,31,25,16,2,2,1,46,25,4,0,9,0,13,55
"Ofaveolata028592",5,0,1,5,5,2,3,0,0,0,1,12,3,1,0,4,0,10,4
"Ofaveolata028594",11,2,1,5,21,6,2,2,4,0,0,14,6,2,1,0,0,1,16
"Ofaveolata028610",2,0,5,0,1,3,1,0,0,0,0,12,6,1,0,0,0,1,15
"Ofaveolata028637",16,3,10,1,18,18,14,7,2,0,0,47,21,3,4,3,0,5,74
"Ofaveolata028652",182,27,73,12,356,177,62,62,58,0,7,318,223,46,0,73,4,144,431
"Ofaveolata028654",37,3,9,0,28,31,15,3,1,6,2,70,21,5,0,20,0,11,54
"Ofaveolata028655",20,0,2,4,12,22,0,7,0,0,3,30,12,0,0,6,0,5,40
"Ofaveolata028656",166,104,54,29,84,141,71,28,11,28,5,147,111,28,10,66,6,62,342
"Ofaveolata028657",39,52,25,3,59,23,18,12,6,2,4,84,46,9,1,29,0,23,139
"Ofaveolata028658",37,20,1,11,34,16,4,4,0,0,1,18,9,0,6,12,1,2,73
"Ofaveolata028660",47,4,3,0,16,4,1,7,1,0,0,29,19,0,0,0,0,6,49
"Ofaveolata028661",16,1,7,0,17,15,4,7,0,0,1,24,11,1,0,9,1,4,38
"Ofaveolata028663",73,2,1,1,19,18,2,1,7,0,0,8,4,0,0,0,0,0,48
"Ofaveolata028664",0,0,1,0,5,21,5,6,2,0,0,18,9,14,0,6,1,4,22
"Ofaveolata028667",0,0,1,0,1,16,0,5,0,0,0,7,4,0,0,0,0,2,11
"Ofaveolata028669",12,0,10,0,8,6,6,1,0,0,0,24,22,4,0,0,0,8,42
"Ofaveolata028670",71,17,7,1,129,42,20,7,7,0,4,62,49,11,0,13,0,27,108
"Ofaveolata028671",19,7,5,7,22,18,21,9,5,0,0,40,14,3,0,15,0,12,60
"Ofaveolata028672",43,12,12,1,111,7,12,10,11,0,2,22,17,4,0,10,3,16,62
"Ofaveolata028673",70,32,37,3,63,54,24,72,23,2,7,57,64,12,2,16,10,52,101
"Ofaveolata028674",128,34,46,5,89,96,37,16,10,2,2,137,60,32,29,26,0,31,152
"Ofaveolata028679",77,50,35,8,75,88,37,31,16,1,9,92,38,38,11,17,4,22,54
"Ofaveolata028680",9,5,63,32,11,37,42,46,44,1,7,82,82,6,0,19,0,29,115
"Ofaveolata028682",10,1,54,16,39,123,36,41,15,5,3,217,155,23,0,28,4,65,171
"Ofaveolata028683",152,100,90,33,280,255,88,61,27,7,20,409,243,47,0,91,3,174,1046
"Ofaveolata028684",2,6,1,0,10,2,2,4,0,0,0,12,6,6,0,1,0,7,10
"Ofaveolata028685",623,230,172,35,1046,507,191,83,79,15,45,548,378,137,29,166,2,277,671
"Ofaveolata028686",38,20,22,15,40,48,15,12,0,2,0,49,44,6,4,16,0,25,87
"Ofaveolata028687",22,21,0,0,4,10,0,0,0,0,0,7,0,0,0,0,0,0,46
"Ofaveolata028691",6,0,6,0,18,12,7,1,4,0,0,24,5,2,4,16,0,2,49
"Ofaveolata028697",137,56,27,17,90,85,48,21,17,1,1,161,73,43,7,33,6,36,342
"Ofaveolata028698",3,0,3,0,12,3,4,1,0,0,2,17,2,0,0,0,0,0,8
"Ofaveolata028699",1547,669,537,282,1086,1240,680,435,176,46,146,1429,1002,446,126,572,72,694,2873
"Ofaveolata028700",4,0,7,5,17,11,16,1,0,0,0,19,15,4,0,10,0,5,34
"Ofaveolata028701",29,27,8,6,31,19,12,0,3,3,0,35,23,3,7,9,1,12,40
"Ofaveolata028702",4,0,6,0,11,9,2,0,0,0,0,8,1,0,0,8,0,2,33
"Ofaveolata028704",211,73,56,14,222,175,72,63,29,11,1,270,138,40,17,111,1,74,350
"Ofaveolata028709",35,3,4,0,57,15,8,2,0,0,3,29,25,2,2,13,1,10,43
"Ofaveolata028710",9,0,1,0,19,7,3,6,3,0,7,14,2,7,1,4,0,7,31
"Ofaveolata028711",9,2,16,9,26,26,6,10,9,0,0,54,22,27,0,9,0,15,137
"Ofaveolata028714",27,4,8,6,23,10,4,0,6,0,3,47,22,15,6,8,0,10,65
"Ofaveolata028721",1,0,5,0,3,0,2,0,0,0,0,19,1,0,0,0,0,1,48
"Ofaveolata028722",5,0,0,0,11,3,5,0,0,0,0,18,0,0,0,0,0,0,128
"Ofaveolata028728",20,12,10,1,27,20,3,9,0,0,0,47,17,2,0,6,0,6,57
"Ofaveolata028729",15,0,13,2,15,21,22,7,0,0,1,24,16,3,2,9,0,12,23
"Ofaveolata028735",43,5,29,9,61,82,27,21,16,8,9,142,79,15,4,32,8,49,181
"Ofaveolata028738",13,8,4,0,16,15,4,0,1,0,0,45,16,0,0,0,0,4,31
"Ofaveolata028742",67,28,23,15,87,67,34,19,14,1,4,169,74,45,10,82,7,45,170
"Ofaveolata028745",118,34,50,16,108,50,37,26,24,0,13,170,70,27,3,42,0,28,285
"Ofaveolata028748",7,0,0,0,8,6,9,0,0,0,0,26,6,0,5,0,0,1,22
"Ofaveolata028749",217,110,41,10,124,116,60,34,10,0,10,194,117,39,24,77,2,74,174
"Ofaveolata028754",23,9,13,14,81,32,13,11,2,0,0,114,37,0,0,5,3,27,112
"Ofaveolata028756",4,0,5,0,11,3,1,0,0,0,2,11,8,1,0,3,0,11,18
"Ofaveolata028757",43,18,26,13,39,42,36,16,11,5,2,116,77,22,22,31,7,44,114
"Ofaveolata028759",12,1,1,0,4,3,7,1,1,0,0,9,5,4,0,0,0,2,18
"Ofaveolata028760",3,0,0,0,10,0,0,0,3,0,0,6,3,0,0,0,0,2,10
"Ofaveolata028763",1,0,0,0,20,2,0,0,0,0,0,1,0,0,0,0,0,2,30
"Ofaveolata028765",122,65,81,38,120,193,119,31,42,16,50,154,98,34,128,110,12,105,242
"Ofaveolata028766",98,30,47,12,204,198,66,28,30,3,3,91,23,14,24,24,4,50,295
"Ofaveolata028767",23,14,1,3,54,57,6,16,15,2,0,69,46,4,6,7,0,30,87
"Ofaveolata028768",7,10,12,0,2,13,1,0,1,0,1,7,6,2,0,4,1,10,35
"Ofaveolata028770",26,4,4,0,33,23,4,8,4,0,0,45,12,0,0,5,0,14,48
"Ofaveolata028772",55,10,10,6,132,19,21,12,3,2,16,41,13,4,20,15,0,5,50
"Ofaveolata028779",10,63,0,4,2,77,1,0,0,0,0,3,4,0,0,1,4,1,23
"Ofaveolata028780",5,9,3,0,3,29,1,0,1,0,0,102,2,0,0,9,1,59,850
"Ofaveolata028781",132,277,18,4,10,545,24,1,19,0,6,78,12,6,2,17,1,288,1333
"Ofaveolata028782",74,21,14,7,63,78,28,6,7,0,0,114,49,6,0,35,0,32,125
"Ofaveolata028783",1545,561,344,122,1006,852,511,303,148,64,81,995,720,252,91,479,62,432,2539
"Ofaveolata028784",95,29,34,9,122,115,42,19,12,1,3,162,76,29,17,51,4,63,231
"Ofaveolata028785",7,0,6,1,13,9,9,1,5,0,0,19,19,8,1,5,0,5,30
"Ofaveolata028787",29,13,8,8,54,32,21,14,11,0,13,82,45,22,20,37,2,13,96
"Ofaveolata028792",2373,1177,798,569,1813,1622,982,610,366,98,192,1812,1318,760,327,961,116,919,3923
"Ofaveolata028793",3,4,0,0,10,0,0,0,0,1,0,10,2,0,0,0,0,10,11
"Ofaveolata028795",40,6,5,12,125,28,17,17,4,0,0,87,45,10,12,3,2,29,101
"Ofaveolata028797",5,7,13,12,45,26,23,36,4,0,0,101,52,14,3,14,0,11,167
"Ofaveolata028800",10,0,0,0,7,12,1,1,0,6,0,17,4,0,0,0,0,9,26
"Ofaveolata028801",1,2,4,3,5,9,7,2,1,0,0,16,8,2,0,7,0,9,12
"Ofaveolata028804",759,421,167,90,232,882,459,96,107,17,50,286,267,144,44,199,21,148,562
"Ofaveolata028805",8,4,13,0,14,5,1,6,0,0,0,31,6,10,0,6,0,5,33
"Ofaveolata028813",1,0,18,0,20,22,7,5,0,0,0,37,14,4,0,25,0,0,14
"Ofaveolata028814",3,0,2,5,1,3,0,0,0,10,0,8,0,0,1,0,0,2,13
"Ofaveolata028815",19,10,14,7,43,25,13,4,6,4,0,48,19,8,0,2,0,11,86
"Ofaveolata028816",67,35,43,3,66,87,24,30,15,11,16,139,73,17,7,24,6,36,212
"Ofaveolata028820",9,1,0,1,10,3,3,0,0,0,0,27,16,0,0,2,0,6,20
"Ofaveolata028822",33,10,10,1,42,50,13,17,0,0,0,44,25,9,0,7,0,12,96
"Ofaveolata028825",189,65,23,17,204,166,44,19,23,13,12,228,78,41,2,69,1,93,417
"Ofaveolata028827",18,13,9,1,21,19,5,9,6,0,2,27,19,15,3,0,0,3,54
"Ofaveolata028828",18,3,17,6,31,9,14,2,11,0,0,26,17,18,1,3,1,20,65
"Ofaveolata028829",76,10,54,14,147,79,55,26,9,0,8,258,120,16,18,53,0,91,293
"Ofaveolata028830",9,4,3,0,6,7,0,4,0,0,0,14,6,11,0,1,0,6,15
"Ofaveolata028831",56,9,17,2,66,62,27,9,1,2,4,110,70,14,23,45,0,43,95
"Ofaveolata028833",11,9,7,4,11,17,7,6,0,0,0,15,14,8,6,5,0,4,27
"Ofaveolata028834",37,15,6,0,59,30,10,9,7,0,0,52,20,2,7,0,0,16,64
"Ofaveolata028835",8,2,13,1,36,5,7,2,1,0,7,28,9,0,2,12,0,9,39
"Ofaveolata028837",12,30,10,11,9,0,7,3,7,0,1,19,0,7,0,5,0,3,24
"Ofaveolata028841",38,2,9,0,33,37,18,7,7,0,0,73,39,7,2,18,0,13,101
"Ofaveolata028845",162,54,86,67,253,281,96,55,42,20,14,312,142,54,13,43,13,110,760
"Ofaveolata028847",8,0,2,0,7,9,8,2,3,0,0,23,6,0,0,0,0,2,26
"Ofaveolata028851",2,0,0,0,18,11,2,0,0,0,0,22,9,0,0,0,0,2,43
"Ofaveolata028853",83,90,56,12,85,151,57,38,42,6,2,81,54,46,8,49,4,32,71
"Ofaveolata028854",41,9,6,11,43,33,33,12,11,0,0,84,38,9,3,23,0,25,96
"Ofaveolata028855",76,22,12,16,156,60,11,22,21,0,4,41,38,5,27,8,1,21,105
"Ofaveolata028857",11,5,0,0,2,6,1,1,0,3,0,6,1,0,2,1,0,2,11
"Ofaveolata028858",26,5,4,0,13,14,10,5,0,8,0,23,15,2,7,5,0,5,27
"Ofaveolata028859",70,55,24,25,38,83,15,16,29,10,5,34,25,6,3,34,6,25,90
"Ofaveolata028862",15,6,9,1,59,14,7,1,4,0,0,44,13,1,6,6,1,7,49
"Ofaveolata028868",4,0,5,0,4,1,6,8,6,0,0,41,19,7,0,6,0,8,25
"Ofaveolata028871",5,0,1,0,17,7,4,0,0,0,0,14,8,0,0,1,0,3,11
"Ofaveolata028874",2,0,0,1,0,8,2,2,0,0,0,12,4,1,0,1,0,5,16
"Ofaveolata028875",19,10,9,6,29,13,20,22,5,0,4,52,32,8,5,12,3,16,50
"Ofaveolata028877",13,5,1,2,18,7,10,1,1,0,0,32,12,2,0,0,1,4,29
"Ofaveolata028880",9,1,1,0,12,8,10,0,0,0,1,7,3,0,1,0,0,3,19
"Ofaveolata028881",15,26,26,4,7,28,15,1,24,4,4,18,20,23,25,39,2,14,3
"Ofaveolata028882",25,6,13,3,21,22,13,1,10,0,1,60,37,13,0,2,0,20,64
"Ofaveolata028883",11,10,4,0,34,9,4,0,11,0,0,13,12,5,2,8,0,5,41
"Ofaveolata028888",7,2,0,0,21,8,4,6,0,0,0,25,12,4,1,0,0,6,39
"Ofaveolata028891",11,0,1,0,25,2,0,0,0,0,0,13,5,0,0,0,0,6,8
"Ofaveolata028893",1,6,3,0,6,4,0,1,0,0,0,20,7,0,0,0,0,1,35
"Ofaveolata028900",3,1,1,0,8,5,0,0,6,0,0,10,1,3,0,1,0,0,14
"Ofaveolata028901",22,0,18,8,47,10,5,3,2,0,0,33,8,1,0,8,2,10,59
"Ofaveolata028903",165,44,140,22,420,773,235,134,149,36,12,299,215,255,48,95,29,80,844
"Ofaveolata028904",119,28,95,21,295,537,152,61,62,9,7,168,107,97,18,49,12,43,929
"Ofaveolata028909",2,0,2,0,3,13,0,0,0,0,0,21,3,1,0,0,0,2,1
"Ofaveolata028911",34,2,26,1,92,41,14,18,3,1,0,160,65,9,0,15,2,34,211
"Ofaveolata028912",3,0,1,0,22,5,0,3,2,0,0,22,8,1,0,3,0,4,7
"Ofaveolata028915",13,0,2,0,17,27,12,11,2,1,0,23,9,1,2,11,2,8,37
"Ofaveolata028918",11,0,10,7,37,21,12,11,0,0,7,54,16,1,0,6,0,11,122
"Ofaveolata028919",10,0,5,0,56,5,7,20,0,0,0,17,17,0,1,2,0,9,75
"Ofaveolata028920",17,1,1,6,11,14,9,6,6,0,0,26,17,1,2,0,0,4,36
"Ofaveolata028921",12,12,2,0,30,7,7,1,11,4,0,25,15,3,1,7,0,8,66
"Ofaveolata028922",56,32,10,31,78,34,28,13,1,9,2,71,39,1,25,27,0,18,84
"Ofaveolata028933",24,2,14,6,18,27,24,6,1,6,4,29,21,6,1,16,1,24,47
"Ofaveolata028934",3,15,23,11,12,26,18,10,18,1,0,131,89,30,0,17,0,31,41
"Ofaveolata028935",129,141,4,11,90,103,43,21,4,8,3,83,50,4,26,19,1,26,164
"Ofaveolata028936",43,11,11,0,47,28,6,2,5,0,8,79,32,7,0,38,0,22,86
"Ofaveolata028938",33,17,18,16,35,41,29,18,2,4,0,99,36,11,9,82,1,45,95
"Ofaveolata028939",32,4,9,3,31,25,17,0,3,0,0,48,21,1,3,1,0,2,155
"Ofaveolata028940",6,20,1,0,7,13,18,0,0,0,0,3,5,21,5,0,1,2,10
"Ofaveolata028944",5,6,4,0,16,101,15,1,1,0,4,1,4,9,0,1,0,0,1
"Ofaveolata028947",0,0,6,0,6,0,0,0,0,5,0,12,3,0,0,3,0,5,20
"Ofaveolata028949",9,0,0,0,12,6,0,4,0,0,0,18,4,1,1,2,0,2,32
"Ofaveolata028961",39,3,5,3,35,38,11,13,4,0,1,50,30,15,1,14,1,10,69
"Ofaveolata028965",4,1,14,0,20,8,3,1,5,0,0,21,8,0,0,5,0,20,17
"Ofaveolata028969",32,13,21,18,49,22,26,11,8,0,4,70,32,16,0,34,3,32,97
"Ofaveolata028971",6,0,0,0,5,3,11,0,7,0,0,18,9,0,0,1,1,0,46
"Ofaveolata028976",419,201,14,10,83,490,20,8,0,0,4,56,27,5,1,31,0,40,200
"Ofaveolata028999",17,3,2,0,10,10,0,0,3,0,0,5,8,0,0,0,1,2,9
"Ofaveolata029001",34,18,0,0,18,32,5,3,0,0,0,20,21,0,2,0,0,13,29
"Ofaveolata029002",93,61,50,32,134,88,61,28,42,0,24,115,91,38,6,34,19,70,197
"Ofaveolata029005",8,1,6,0,12,4,3,7,2,0,3,28,9,3,0,7,2,4,43
"Ofaveolata029006",12,10,19,10,21,32,13,7,19,2,5,48,31,2,1,18,5,15,38
"Ofaveolata029007",26,7,17,23,12,22,36,23,10,5,1,34,24,21,13,81,5,27,21
"Ofaveolata029009",207,89,62,13,241,139,71,27,8,14,24,195,93,48,21,22,4,58,352
"Ofaveolata029016",8,2,0,1,16,13,5,8,0,0,0,35,6,1,0,3,0,2,36
"Ofaveolata029021",4,0,2,0,30,10,3,3,0,0,1,11,3,0,2,6,0,0,16
"Ofaveolata029024",1,0,0,1,17,0,1,9,3,0,0,8,4,1,0,0,0,1,32
"Ofaveolata029031",13,0,6,5,17,27,18,2,10,9,0,117,52,25,1,12,1,23,157
"Ofaveolata029033",79,10,51,19,98,131,51,28,10,9,4,208,133,29,20,59,10,83,330
"Ofaveolata029035",168,51,49,33,191,136,86,61,36,0,10,230,161,67,51,106,0,86,251
"Ofaveolata029036",0,11,1,0,18,5,0,8,0,0,0,12,4,0,0,7,0,6,29
"Ofaveolata029038",12,0,3,0,23,15,1,3,0,0,0,36,18,0,0,0,0,5,43
"Ofaveolata029041",6,10,3,0,13,9,2,0,1,0,0,14,7,0,3,1,0,6,23
"Ofaveolata029049",93,45,2,0,34,91,2,9,0,0,0,118,39,0,0,4,0,48,130
"Ofaveolata029051",7,1,0,5,20,11,9,10,0,0,0,27,14,5,5,11,0,13,64
"Ofaveolata029052",99,40,3,1,19,34,19,3,7,4,0,24,9,4,0,18,0,4,298
"Ofaveolata029053",10,3,0,0,22,5,0,5,7,0,3,19,9,0,0,6,1,2,44
"Ofaveolata029061",15,0,4,0,29,3,9,1,14,0,0,21,6,0,0,2,2,9,42
"Ofaveolata029063",33,30,7,1,31,15,5,3,3,1,0,39,9,0,0,19,3,21,48
"Ofaveolata029069",21,7,3,5,54,15,7,9,5,2,8,56,27,7,9,6,0,10,47
"Ofaveolata029082",19,1,1,0,26,16,12,4,3,0,0,29,20,4,0,10,0,9,43
"Ofaveolata029086",42,22,26,0,57,82,18,18,7,1,0,124,60,2,3,11,0,55,172
"Ofaveolata029088",6,0,4,0,13,9,3,4,1,0,0,9,1,0,0,0,0,1,23
"Ofaveolata029089",5,5,8,0,10,11,11,12,1,0,0,60,15,2,0,13,6,12,88
"Ofaveolata029091",16,1,0,0,21,0,1,8,0,0,0,42,20,16,0,0,0,15,31
"Ofaveolata029099",95,14,44,0,160,90,22,13,7,0,3,148,85,8,8,13,0,68,383
"Ofaveolata029101",5,0,1,0,8,1,0,0,0,0,0,30,28,3,0,1,0,11,11
"Ofaveolata029102",2,3,8,2,6,34,11,4,0,0,0,14,15,11,0,1,0,8,76
"Ofaveolata029104",7,3,7,2,7,15,5,5,2,1,1,20,16,7,2,2,0,6,33
"Ofaveolata029106",26,34,12,12,19,27,19,7,1,0,0,39,27,6,3,41,0,15,94
"Ofaveolata029109",183,94,70,37,286,195,76,53,19,10,14,267,146,49,7,66,4,49,347
"Ofaveolata029110",26,1,36,2,34,40,19,7,7,0,0,137,32,9,1,23,1,32,51
"Ofaveolata029111",110,28,224,59,297,335,291,120,97,36,13,789,427,273,14,250,20,264,974
"Ofaveolata029112",40,32,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,7
"Ofaveolata029114",25,21,3,0,26,8,1,1,0,0,0,12,11,0,6,0,0,7,45
"Ofaveolata029123",97,84,41,15,83,58,35,19,10,3,1,184,86,42,4,72,13,65,187
"Ofaveolata029125",36,20,25,1,61,24,19,13,13,0,4,76,24,6,3,22,1,12,66
"Ofaveolata029127",43,5,44,2,231,144,28,30,15,0,2,239,167,41,6,29,3,94,414
"Ofaveolata029130",10,0,1,2,9,10,1,5,0,1,0,19,11,5,0,8,0,5,25
"Ofaveolata029132",27,4,8,4,40,33,5,14,2,0,0,54,26,3,4,7,0,11,89
"Ofaveolata029135",24,5,15,9,52,30,14,19,3,0,1,96,36,7,0,15,0,20,64
"Ofaveolata029144",9,4,3,0,38,19,24,8,21,0,0,45,20,6,0,3,1,9,58
"Ofaveolata029149",16,7,10,5,22,29,14,4,1,0,3,46,21,6,0,16,0,19,49
"Ofaveolata029152",9,9,17,8,20,78,24,18,29,14,0,38,60,21,0,15,1,26,55
"Ofaveolata029154",7,12,12,1,87,25,21,8,5,0,0,96,78,13,0,19,2,26,102
"Ofaveolata029155",36,32,21,1,8,76,7,2,1,0,7,52,44,23,0,24,0,7,57
"Ofaveolata029163",18,3,42,4,66,12,12,22,12,2,4,73,43,29,2,19,3,29,45
"Ofaveolata029164",17,0,9,0,20,18,2,2,0,0,1,26,17,5,3,7,0,10,20
"Ofaveolata029165",15,1,0,1,6,14,7,1,0,0,0,10,9,0,0,0,0,3,30
"Ofaveolata029167",12,5,3,0,25,9,5,0,0,0,0,3,13,3,20,26,1,15,24
"Ofaveolata029168",72,23,13,12,70,74,25,5,20,1,4,90,29,7,5,28,0,33,114
"Ofaveolata029170",36,2,20,5,59,17,15,4,13,5,0,93,34,6,0,20,5,38,93
"Ofaveolata029171",69,32,10,0,113,52,9,4,6,0,0,74,19,9,9,8,1,14,106
"Ofaveolata029172",406,128,57,17,424,291,132,74,29,3,11,414,166,49,17,50,6,117,1209
"Ofaveolata029175",261,62,92,95,279,624,183,68,102,12,30,578,175,42,95,71,14,269,1331
"Ofaveolata029178",41,15,5,5,37,27,16,8,2,0,0,26,25,4,0,11,0,14,53
"Ofaveolata029179",102,13,53,3,204,116,69,51,18,3,8,257,139,29,6,94,0,107,272
"Ofaveolata029180",16,48,38,0,73,14,41,44,21,5,8,124,82,22,0,28,1,22,204
"Ofaveolata029183",20,2,4,1,34,19,4,3,23,0,0,42,28,7,0,13,1,16,72
"Ofaveolata029184",202,176,31,6,161,135,103,22,17,39,23,243,128,207,5,67,0,96,332
"Ofaveolata029185",24,3,3,0,33,19,5,0,15,0,0,40,24,0,0,6,0,14,30
"Ofaveolata029186",29,1,5,0,47,27,5,4,2,3,0,39,20,1,2,9,0,13,101
"Ofaveolata029187",32,21,6,4,21,43,7,4,9,0,0,46,15,5,9,9,2,11,55
"Ofaveolata029188",0,0,4,0,1,0,0,3,0,0,0,15,2,0,0,0,0,0,10
"Ofaveolata029189",806,447,21,52,199,270,161,6,23,1,12,79,41,15,28,28,1,27,288
"Ofaveolata029192",14,2,25,7,27,27,28,14,6,4,3,163,73,12,0,26,4,30,153
"Ofaveolata029193",11,5,6,8,43,23,5,5,4,0,0,61,38,14,1,16,0,23,22
"Ofaveolata029194",75,21,10,3,70,39,15,35,2,0,2,106,31,4,7,17,0,19,130
"Ofaveolata029195",72,32,29,13,88,63,48,11,18,3,1,75,40,9,20,24,1,48,148
"Ofaveolata029196",16,1,3,2,21,11,11,0,0,0,0,63,27,0,1,5,0,24,65
