"","Of.098","Of.104","Of.112","Of.114","Of.126","Of.130","Of.142","Of.150","Of.152","Of.154","Of.158","Of.162","Of.170","Of.180","Of.200","Of.202","Of.216","Of.224","Of.266"
"Ofaveolata000597",10,0,1,1,8,13,4,0,0,14,0,16,12,9,1,3,1,16,21
"Ofaveolata000598",36,13,8,0,1,32,6,0,0,0,0,42,21,4,0,4,0,14,13
"Ofaveolata000600",41,12,6,13,62,9,16,4,6,0,0,64,22,0,0,2,0,11,82
"Ofaveolata000601",11,4,1,0,2,8,7,1,1,0,0,27,6,0,0,0,1,5,30
"Ofaveolata000603",24,1,11,5,43,7,12,9,0,0,5,74,30,6,1,9,0,11,49
"Ofaveolata000604",8,8,7,2,13,9,3,11,0,5,0,45,23,3,0,3,1,9,16
"Ofaveolata000606",1,0,2,0,1,3,6,1,0,0,0,14,2,0,1,0,0,6,17
"Ofaveolata000619",4,0,3,4,22,6,2,4,0,0,1,20,17,0,0,2,0,13,21
"Ofaveolata000623",28,7,3,0,10,12,10,2,0,1,4,27,10,0,0,4,0,15,24
"Ofaveolata000626",43,6,7,3,47,18,15,7,14,5,5,47,27,8,12,22,2,14,36
"Ofaveolata000629",595,240,189,65,209,343,106,45,114,1,12,338,177,46,22,60,3,40,693
"Ofaveolata000632",64,24,25,13,150,46,20,16,6,0,7,125,32,11,1,22,0,51,150
"Ofaveolata000633",40,49,27,16,33,47,5,7,12,1,0,67,35,18,4,38,9,17,84
"Ofaveolata000635",31,0,7,0,47,18,9,2,9,0,0,43,16,5,0,9,0,9,97
"Ofaveolata000637",3,0,0,0,3,3,1,0,0,0,0,18,4,0,0,0,0,2,39
"Ofaveolata000638",1386,1022,127,134,104,97,197,17,74,10,2,155,87,15,12,61,1,18,752
"Ofaveolata000643",5,1,12,1,5,9,2,6,1,0,0,27,21,1,0,16,0,4,24
"Ofaveolata000649",7,4,1,0,12,6,4,1,1,0,0,15,7,11,5,1,0,4,8
"Ofaveolata000653",10,0,3,0,23,5,6,5,0,0,0,18,9,0,0,2,0,8,99
"Ofaveolata000657",247,98,60,5,303,187,94,56,19,10,7,278,153,50,16,49,3,114,446
"Ofaveolata000666",5,0,1,0,6,19,0,8,3,0,0,15,10,1,0,6,2,7,55
"Ofaveolata000667",47,0,16,0,43,40,33,15,1,0,1,60,34,17,5,35,0,33,102
"Ofaveolata000677",16,1,4,1,16,9,7,4,6,0,0,24,7,0,0,0,0,19,21
"Ofaveolata000682",40,6,67,5,35,88,84,41,21,2,0,301,105,48,3,39,3,112,357
